paper_title,year,num_datasets,genre1,genre2,genre3,genre4,genre5,genre_clean
54  Quantitative comparisons into content-based music recognition with the self organising map.,2003,1,various,NA,NA,NA,NA,Various
01. Retrieval of percussion gestures using timbre classification techniques.,2004,1,solo drum patterns,NA,NA,NA,NA,Single Instrument
02. Music meter and tempo tracking from raw polyphonic audio.,2004,1,Folklore,NA,NA,NA,NA,Folk
03. Comparison Of Features For DP-Matching Based Query-by-Humming System.,2004,2,Children's songs,NA,NA,NA,NA,Folk
04. Time-Warped Longest Common Subsequence Algorithm for Music Retrieval.,2004,1,Folk songs,NA,NA,NA,NA,Folk
04. Towards Automatic Transcription of Australian Aboriginal Music.,2004,2,Folk songs: voice and clapsticks, didgeridoo, voice and didgeridoo,NA,NA,Non-Western
05. Pattern Matching in Polyphonic Music as a Weighted Geometric Translation Problem.,2004,3,Classical,NA,NA,NA,NA,Classical
06. Clustering Symbolic Music Using Paradigmatic and Surface Level Analyses.,2004,1,Classical,NA,NA,NA,NA,Classical
07. Melodic Atoms for Transcribing Carnatic Music.,2004,0,Non-Western,NA,NA,NA,NA,Non-Western
08. Music Recommendation from Song Sets.,2004,1,Various,NA,NA,NA,NA,Various
09. Automatic Record Reviews.,2004,1,various, doesn't specify which genre used,NA,NA,NA,Various
10. Tempo Tracking with a Single Oscillator.,2004,1,Pop/Rock,NA,NA,NA,NA,"Pop, Rock"
11. A Hybrid Graphical Model for Aligning Polyphonic Audio with Musical Scores.,2004,1,Classical,NA,NA,NA,NA,Classical
12. Demonstration of 'Music Plus One'--- a System for Orchestral Musical Accompaniment.,2004,1,Classical,NA,NA,NA,NA,Classical
13. Automatic Genre Classification Using Large High-Level Musical Feature Sets.,2004,1,Classical,NA,NA,NA,NA,Classical
14. Search Effectiveness Measures for Symbolic Music Queries in Very Large Databases.,2004,1,folk,NA,NA,NA,NA,Folk
15. Eigenrhythms: Drum pattern basis sets for classification and generation.,2004,1,blues, country, disco, hiphop," house, new wave, rock, pop, punk, rythm and blues",Various
16. Disambiguating Music Emotion Using Software Agents.,2004,0,n/a,NA,NA,NA,NA,N/A
17. Optimizing Measures Of Melodic Similarity For The Exploration Of A Large Folk Song Database.,2004,1,folk,NA,NA,NA,NA,Folk
18. Visual Collaging Of Music In A Digital Library.,2004,0,n/a,NA,NA,NA,NA,N/A
19. GREENSTONE as a Music Digital Library Toolkit.,2004,1,Beatles,NA,NA,NA,NA,"Pop, Rock"
20. An Analytical Methodology for Acousmatic Music.,2004,0,n/a,NA,NA,NA,NA,N/A
21. A Matlab Toolbox to Compute Music Similarity from Audio.,2004,1,various,NA,NA,NA,NA,Various
22. Estimating The Tonality Of Polyphonic Audio Files: Cognitive Versus Machine Learning Modelling Strategies.,2004,1,classical,NA,NA,NA,NA,Classical
23. Instrument identification in solo and ensemble music using Independent Subspace Analysis.,2004,1,Instruments,NA,NA,NA,NA,Single instrument
24. Dance music classification: A tempo-based approach.,2004,1,Ballroom/dance music,NA,NA,NA,NA,Other
"25. Mapping Music In The Palm Of Your Hand, Explore And Discover Your Collection.",2004,0,n/a,NA,NA,NA,NA,N/A
26. Digital Music Interaction Concepts: A User Study.,2004,1,experimental data,NA,NA,NA,NA,N/A
27. A Brazilian Popular Music Oriented Digital Library For Musical Harmony E-Learning.,2004,1,Brazilian Choro music,NA,NA,NA,NA,Non-Western
28. A Prototypical Service for Real-Time Access to Local Context-Based Music Information.,2004,0,n/a,NA,NA,NA,NA,N/A
29. Automatic extraction of music descriptors from acoustic signals.,2004,2,Not specified,NA,NA,NA,NA,Doesn't Specify
